year,precipitation_sum,precipitation_avg,precipitation_min,precipitation_max,temperature_sum,temperature_avg,temperature_min,temperature_max,lat,lon
1970,623.69995,1.7134614,0,30.800001,2141.7417,5.883906,-23.072748,25.900167,45.57603174,-109.1491165
1971,621.4,1.707143,0,34.4,1782.6628,4.897425,-24.854004,26.977243,45.57603174,-109.1491165
1972,523.8,1.4350685,0,20.7,1757.2043,4.8142586,-31.541498,24.062666,45.57603174,-109.1491165
1973,511.40002,1.4049451,0,48.899994,1856.5026,5.1002817,-29.906082,26.004332,45.57603174,-109.1491165
1974,599.69995,1.6475273,0,52.699997,2482.8503,6.8210173,-25.12692,27.073084,45.57603174,-109.1491165
1975,634.1,1.7420329,0,41.999996,1715.0814,4.711762,-22.76442,26.196001,45.57603174,-109.1491165
1976,520.5,1.4260274,0,29.300001,2274.2815,6.2309084,-24.587332,26.887667,45.57603174,-109.1491165
1977,450.80002,1.2384616,0,24.700003,2852.8088,7.837387,-25.041504,25.956419,45.57603174,-109.1491165
1978,743.8,2.0434065,0,54.999996,1978.3752,5.4350967,-26.9915,24.5335,45.57603174,-109.1491165
1979,353.10004,0.97005504,0,19.099998,1990.3418,5.467972,-29.654,25.743914,45.57603174,-109.1491165
1980,517.6,1.4180821,0,29.499998,2467.5981,6.760543,-24.433168,25.414747,45.57603174,-109.1491165
1981,502.60004,1.3807694,0,40.2,3201.6587,8.795766,-21.081083,26.21475,45.57603174,-109.1491165
1982,674.4,1.8527473,0,36.9,1972.1771,5.418069,-25.443583,24.910583,45.57603174,-109.1491165
1983,460.1,1.264011,0,28.6,2770.7336,7.6119056,-16.899834,28.506414,45.57603174,-109.1491165
1984,406.3,1.1131506,0,19.499998,2193.896,6.010674,-33.883167,26.325167,45.57603174,-109.1491165
1985,463.90002,1.2744507,0,23.1,2151.9563,5.9119678,-22.49775,27.61683,45.57603174,-109.1491165
